id_venta,id_producto,id_cliente,cantidad,fecha,valor_total_venta
V004849,P0173,C0203,4,2024-05-16,235.64
V003181,P0165,C0004,9,2022-09-12,838.8000000000001
V000311,P0194,C0156,10,2020-12-02,433.8
V002787,P0167,C0058,1,2023-07-22,88.17
V002726,P0417,C0099,10,2022-04-10,606.9
V003374,P0484,C0039,3,2022-11-11,17.07
V007378,P0394,C0150,4,2024-03-15,101.24
V005799,P0024,C0244,4,2023-11-01,342.28
V001810,P0449,C0032,6,2022-12-01,252.66
V005219,P0269,C0229,10,2021-09-04,741.8000000000001
V006004,P0383,C0246,7,2021-12-09,140.84
V002625,P0478,C0038,9,2020-09-03,769.0500000000001
V001229,P0089,C0209,7,2021-03-10,664.09
V001739,P0089,C0197,5,2023-02-20,474.35
V004719,P0459,C0137,3,2021-12-02,22.56
V007707,P0246,C0263,10,2021-08-28,397.70000000000005
V005678,P0085,C0217,1,2021-10-29,73.55
V000674,P0254,C0060,4,2022-02-19,290.84
V005783,P0516,C0203,3,2020-01-20,71.19
V004478,P0205,C0249,4,2020-12-30,357.24
V004287,P0539,C0126,10,2023-08-24,170.5
V002503,P0432,C0249,1,2023-01-13,60.41
V004225,P0350,C0283,7,2021-03-27,494.96999999999997
V000797,P0210,C0187,4,2021-07-15,268.2
V006183,P0523,C0200,2,2022-07-26,119.84
V004618,P0113,C0216,5,2022-01-02,108.25
V002302,P0341,C0049,5,2020-03-21,403.29999999999995
V007634,P0437,C0297,10,2022-11-26,200.10000000000002
V005803,P0440,C0032,4,2020-11-03,228.52
V000345,P0051,C0149,3,2020-11-30,161.64000000000001
V002801,P0570,C0092,5,2022-01-16,287.65
V003707,P0432,C0186,9,2020-01-12,543.6899999999999
V005819,P0162,C0286,5,2020-10-28,469.25
V002591,P0119,C0205,10,2020-02-04,947.3000000000001
V006430,P0432,C0253,3,2022-03-14,181.23
V007318,P0541,C0129,1,2021-01-21,25.29
V002299,P0274,C0245,1,2022-02-23,50.51
V002040,P0136,C0240,1,2021-11-27,65.2
V006840,P0546,C0297,1,2021-01-17,73.04
V007722,P0012,C0005,5,2021-12-30,227.7
V006635,P0177,C0195,2,2022-07-03,163.88
V000971,P0071,C0043,9,2021-12-10,576.27
V001429,P0004,C0181,2,2022-05-24,145.76
V000287,P0079,C0217,3,2022-09-20,11.73
V005181,P0088,C0203,3,2020-10-06,247.17000000000002
V004658,P0168,C0113,3,2020-04-03,264.69
V000707,P0340,C0092,5,2023-08-23,80.3
V002711,P0257,C0278,10,2023-05-16,651.3
V002047,P0478,C0093,10,2020-01-01,854.5
V003846,P0126,C0275,4,2023-12-17,242.44
V003293,P0378,C0181,2,2020-01-25,49.22
V006209,P0533,C0282,6,2023-05-25,126.53999999999999
V000311,P0392,C0156,6,2020-12-02,51.72
V006442,P0365,C0237,5,2020-03-29,206.4
V002138,P0022,C0300,4,2023-03-22,169.72
V002777,P0524,C0251,9,2020-08-02,173.07
V006916,P0100,C0198,1,2021-09-10,26.62
V003820,P0468,C0139,10,2024-05-30,102.0
V005842,P0448,C0224,5,2020-01-31,96.05000000000001
V002548,P0204,C0161,6,2020-01-21,286.68
V002192,P0394,C0004,4,2021-08-26,101.24
V005194,P0471,C0228,7,2020-06-17,462.34999999999997
V005893,P0325,C0300,6,2022-07-17,42.96
V005221,P0336,C0101,4,2022-11-10,159.64
V001786,P0330,C0247,8,2020-08-23,667.68
V006269,P0299,C0198,5,2023-04-10,280.95
V007441,P0227,C0249,9,2020-07-25,820.08
V001158,P0164,C0149,3,2022-05-24,266.76
V003093,P0597,C0099,1,2021-01-28,34.23
V006157,P0458,C0182,6,2024-04-13,71.1
V000881,P0389,C0053,8,2021-10-10,669.6
V001212,P0191,C0011,10,2022-10-10,750.4000000000001
V000894,P0079,C0137,4,2023-04-15,15.64
V005553,P0008,C0162,3,2023-06-09,252.57
V006816,P0169,C0283,4,2022-01-28,28.52
V007558,P0258,C0278,3,2021-03-30,78.27
V007551,P0518,C0137,7,2021-08-11,531.37
V006785,P0405,C0247,5,2023-10-27,402.9
V004415,P0284,C0276,7,2020-01-14,195.72
V000819,P0331,C0090,5,2020-05-27,427.40000000000003
V005204,P0082,C0017,7,2024-01-14,247.24
V007289,P0026,C0089,1,2024-05-03,89.25
V000382,P0381,C0265,8,2023-02-19,138.24
